Time,Thrust,RemainingFuel,CurrentMass
1,4.7088e+06,548400,-600
2,4.7088e+06,546800,-2200
3,4.7088e+06,545200,-3800
4,4.7088e+06,543600,-5400
5,4.7088e+06,542000,-7000
6,4.7088e+06,540400,-8600
7,4.7088e+06,538800,-10200
8,4.7088e+06,537200,-11800
9,4.7088e+06,535600,-13400
10,4.7088e+06,534000,-15000
11,4.7088e+06,532400,-16600
12,4.7088e+06,530800,-18200
13,4.7088e+06,529200,-19800
14,4.7088e+06,527600,-21400
15,4.7088e+06,526000,-23000
16,4.7088e+06,524400,-24600
17,4.7088e+06,522800,-26200
18,4.7088e+06,521200,-27800
19,4.7088e+06,519600,-29400
20,4.7088e+06,518000,-31000
21,4.7088e+06,516400,-32600
22,4.7088e+06,514800,-34200
23,4.7088e+06,513200,-35800
24,4.7088e+06,511600,-37400
25,4.7088e+06,510000,-39000
26,4.7088e+06,508400,-40600
27,4.7088e+06,506800,-42200
28,4.7088e+06,505200,-43800
29,4.7088e+06,503600,-45400
30,4.7088e+06,502000,-47000
31,4.7088e+06,500400,-48600
32,4.7088e+06,498800,-50200
33,4.7088e+06,497200,-51800
34,4.7088e+06,495600,-53400
35,4.7088e+06,494000,-55000
36,4.7088e+06,492400,-56600
37,4.7088e+06,490800,-58200
38,4.7088e+06,489200,-59800
39,4.7088e+06,487600,-61400
40,4.7088e+06,486000,-63000
41,4.7088e+06,484400,-64600
42,4.7088e+06,482800,-66200
43,4.7088e+06,481200,-67800
44,4.7088e+06,479600,-69400
45,4.7088e+06,478000,-71000
46,4.7088e+06,476400,-72600
47,4.7088e+06,474800,-74200
48,4.7088e+06,473200,-75800
49,4.7088e+06,471600,-77400
50,4.7088e+06,470000,-79000
51,4.7088e+06,468400,-80600
52,4.7088e+06,466800,-82200
53,4.7088e+06,465200,-83800
54,4.7088e+06,463600,-85400
55,4.7088e+06,462000,-87000
56,4.7088e+06,460400,-88600
57,4.7088e+06,458800,-90200
58,4.7088e+06,457200,-91800
59,4.7088e+06,455600,-93400
60,4.7088e+06,454000,-95000
